book_id,title,genres
1,"The Testaments (The Handmaid's Tale, #2)",Fiction|Science Fiction|Dystopia
2,Where the Forest Meets the Stars,Fiction|Contemporary|Mystery
3,Normal People,Fiction|Contemporary|Literary Fiction
4,"Ask Again, Yes",Fiction|Contemporary|Literary Fiction
5,Queenie,Fiction|Contemporary|Adult
6,The Silent Patient,Mystery|Thriller|Fiction
7,"My Sister, the Serial Killer",Fiction|Mystery|Thriller
8,The Turn of the Key,Mystery|Thriller|Fiction
9,The Lost Man,Mystery|Crime|Fiction
10,An Anonymous Girl,Thriller|Mystery|Fiction
11,Daisy Jones & The Six,Historical Fiction|Fiction
12,The Nickel Boys,Historical Fiction|Fiction
13,The Huntress,Historical Fiction|Fiction
14,City of Girls,Historical Fiction|Fiction
15,The Giver of Stars,Historical Fiction|Fiction
16,Ninth House (Alex Stern #1),Fantasy|Fiction|Mystery|Adult|Contemporary
17,The Starless Sea,Fantasy|Fiction|Adult
18,Fire & Blood (A Targaryen History #1),Fantasy|Fiction
19,The Priory of the Orange Tree,Fantasy|Fiction|Adult
20,The Red Scrolls of Magic (The Eldest Curses #1),Fantasy|Young Adult|LGBT
21,"Red, White & Royal Blue",Romance|Contemporary|LGBT|Fiction
22,Verity,Thriller|Romance|Mystery|Contemporary
23,The Unhoneymooners,Romance|Contemporary|Fiction|Adult
24,Things You Save in a Fire,Romance|Fiction|Contemporary
25,The Bride Test (The Kiss Quotient #2),Romance|Contemporary|Fiction|Adult
26,Recursion,Science Fiction|Fiction|Thriller
27,Dark Age (Red Rising Saga #5),Science Fiction|Fantasy|Fiction
28,Gideon the Ninth (The Locked Tomb #1),Fantasy|Science Fiction|LGBT|Fiction
29,This Is How You Lose The Time War,Science Fiction|Fiction|Romance|LGBT|Fantasy|Adult
30,The Deep,Fantasy|Science Fiction|Fiction|Adult
31,The Institute,Horror|Fiction|Thriller|Fantasy|Science Fiction
32,Imaginary Friend,Horror|Fiction|Mystery|Thriller|Adult Fiction|Fantasy
33,The Girl in Red,Horror|Fantasy|Fiction|Science Fiction|Dystopia|Adult
34,The Invited,Horror|Mystery|Fiction|Thriller
35,The Lost Causes of Bleak Creek,Horror|Mystery|Fiction|Thriller
36,"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life",Nonfiction|Humor|Biography|Adult
37,Life Will Be the Death of Me: . . . and You Too!,Nonfiction|Humor
38,William Shakespeare's Much Ado About Mean Girls,Humor|Fiction|Young Adult|Poetry
39,Do You Mind If I Cancel? (Things That Still Annoy Me),Nonfiction|Humor|LGBT|Biography
40,Southern Lady Code,Nonfiction|Humor
41,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Nonfiction|Self Help
42,Stay Sexy & Don't Get Murdered: The Definitive How-To Guide,Nonfiction|Crime|Humor|Mystery|Self Help|Adult|Biography
43,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Nonfiction|Self Help
44,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Nonfiction|Crime|Politics
45,Everything Is F*cked: A Book About Hope,Nonfiction|Self Help
46,Over the Top: A Raw Journey to Self-Love,Nonfiction|Memoir|LGBT
47,Know My Name,Nonfiction|Memoir
48,Home Work: A Memoir of My Hollywood Years,Nonfiction|Memoir|Biography
49,"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",Nonfiction|Memoir|Biography
50,Me,Nonfiction|Memoir|Biography|Music
51,The Five: The Untold Lives of the Women Killed by Jack the Ripper,Nonfiction|History|Crime|Biography|History
52,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Nonfiction|History|Science
53,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Nonfiction|History|Crime|Politics
54,Before and After: The Incredible Real-Life Stories of Orphans Who Survived the Tennessee Children's Home Society,Nonfiction|History|Crime|Parenting
55,A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Nonfiction|History|Biography|War
56,Will My Cat Eat My Eyeballs?: Big Questions from Tiny Mortals About Death,Nonfiction|Science|Death|Humor|Adult
57,Invisible Women: Data Bias in a World Designed for Men,Nonfiction|Science|Politics
58,The Body: A Guide for Occupants,Nonfiction|Science|Health
59,How To: Absurd Scientific Advice for Common Real-World Problems,Nonfiction|Science|Humor
60,Mama's Last Hug: Animal Emotions and What They Tell Us about Ourselves,Nonfiction|Science|Animals|Environment
61,Antoni in the Kitchen,Food and Drink|Nonfiction
62,The Adventurous Eaters Club: Mastering the Art of Family Mealtime,Food and Drink|Nonfiction|Parenting
63,Notes from a Young Black Chef,Memoir|Nonfiction|Food and Drink
64,The Little Women Cookbook: Tempting Recipes from the March Sisters and Their Friends and Family,Food and Drink|Nonfiction
65,Rachael Ray 50: Memories and Meals from a Sweet and Savory Life,Food and Drink|Nonfiction
66,Pumpkinheads,Graphic Novels|Young Adult|Romance|Contemporary
67,Heartstopper: Volume Two (Heartstopper #2),Graphic Novels|LGBT|Young Adult|Romance|Contemporary
68,The Handmaid's Tale: The Graphic Novel,Graphic Novels|Fiction|Dystopia
69,They Called Us Enemy,Graphic Novels|Nonfiction|Memoir|History|Comics|Biography
70,Book Love,Graphic Novels|Comics|Nonfiction|Humor
71,SHOUT,Poetry|Young Adult
72,The Mermaid's Voice Returns in This One (Women Are Some Kind of Magic #3),Poetry|Nonfiction
73,The Truth About Magic,Poetry
74,Lord of the Butterflies,Poetry|LGBT
75,Great Goddesses: Life Lessons from Myths and Monsters,Poetry|Mythology|Fantasy
76,The Silent Patient,Mystery|Thriller|Fiction
77,The Ten Thousand Doors of January,Fantasy|Historical Fiction|Fiction|Young Adult|History
78,The Water Dancer,Historical Fiction|Fiction|Fantasy|History
79,Five Feet Apart,Young Adult|Romance|Contemporary|Fiction
80,On the Come Up,Young Adult|Contemporary|Fiction
81,With the Fire on High,Young Adult|Contemporary|Fiction
82,Two Can Keep a Secret,Mystery|Young Adult|Thriller|Contemporary|Fiction
83,The Fountains of Silence,Historical Fiction|Young Adult|History|Fiction
84,The Wicked King,Fantasy|Young Adult|Romance
85,Wayward Son,Fantasy|Young Adult|LGBT
86,Queen of Air and Darkness (The Dark Artifices #3),Fantasy|Young Adult
87,King of Scars (Nikolai Duology #1),Fantasy|Young Adult
88,Wilder Girls,Young Adult|Horror|Mystery|LGBT|Fiction
89,The Tyrant's Tomb (The Trials of Apollo #4),Fantasy|Mythology|Young Adult|Childrens
90,Tunnel of Bones (Cassidy Blake #2),Childrens|Fantasy
91,Guts (Smile #3),Graphic Novels|Childrens|Memoir|Comics
92,The Remarkable Journey of Coyote Sunrise,Childrens|Fiction|Family|Childrens|Adventure
93,New Kid,Graphic Novels|Childrens|Fiction|Young Adult
94,A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers,Poetry|Childrens|Nonfiction
95,Sulwe,Picture Books|Childrens
96,The Good Egg,Picture Books|Childrens|Humor
97,Hair Love,Picture Books|Childrens|Family
98,Unicorn Day,Picture Books|Childrens|Fantasy
99,The Name of the Wind,Fantasy|Adventure|Action|Fiction
100,Catch-22,Fiction|War
